city,country,forecast_dt,dt_txt,temperature_c,humidity_percent,condition,wind_speed_m_s,date
Munich,DE,2026-06-23 15:00:00,2026-06-23 15:00:00,32.22,40,Clouds,3.47,2026-06-23
Munich,DE,2026-06-23 18:00:00,2026-06-23 18:00:00,31.35,49,Clouds,2.08,2026-06-23
Munich,DE,2026-06-23 21:00:00,2026-06-23 21:00:00,26.25,68,Clouds,1.72,2026-06-23
Munich,DE,2026-06-24 00:00:00,2026-06-24 00:00:00,20.47,81,Clouds,1.38,2026-06-24
Munich,DE,2026-06-24 03:00:00,2026-06-24 03:00:00,18.26,85,Clear,1.05,2026-06-24
Munich,DE,2026-06-24 06:00:00,2026-06-24 06:00:00,22.99,71,Clear,0.85,2026-06-24
Munich,DE,2026-06-24 09:00:00,2026-06-24 09:00:00,28.4,54,Clear,2.38,2026-06-24
Munich,DE,2026-06-24 12:00:00,2026-06-24 12:00:00,32.29,45,Clear,3.35,2026-06-24
Munich,DE,2026-06-24 15:00:00,2026-06-24 15:00:00,32.7,43,Clear,2.96,2026-06-24
Munich,DE,2026-06-24 18:00:00,2026-06-24 18:00:00,30.77,65,Clouds,2.4,2026-06-24
Munich,DE,2026-06-24 21:00:00,2026-06-24 21:00:00,24.26,79,Clouds,1.87,2026-06-24
Munich,DE,2026-06-25 00:00:00,2026-06-25 00:00:00,21.12,80,Clouds,1.85,2026-06-25
Munich,DE,2026-06-25 03:00:00,2026-06-25 03:00:00,18.49,86,Clouds,1.51,2026-06-25
Munich,DE,2026-06-25 06:00:00,2026-06-25 06:00:00,23.61,71,Clouds,2.25,2026-06-25
Munich,DE,2026-06-25 09:00:00,2026-06-25 09:00:00,27.67,50,Clouds,4.01,2026-06-25
Munich,DE,2026-06-25 12:00:00,2026-06-25 12:00:00,30.09,40,Clouds,4.65,2026-06-25
Munich,DE,2026-06-25 15:00:00,2026-06-25 15:00:00,30.04,38,Clouds,4.34,2026-06-25
Munich,DE,2026-06-25 18:00:00,2026-06-25 18:00:00,25.53,59,Clouds,2.59,2026-06-25
Munich,DE,2026-06-25 21:00:00,2026-06-25 21:00:00,20.97,68,Clear,2.47,2026-06-25
Munich,DE,2026-06-26 00:00:00,2026-06-26 00:00:00,18.78,78,Clear,2.28,2026-06-26
Munich,DE,2026-06-26 03:00:00,2026-06-26 03:00:00,16.99,83,Clear,1.19,2026-06-26
Munich,DE,2026-06-26 06:00:00,2026-06-26 06:00:00,21.58,67,Clear,0.94,2026-06-26
Munich,DE,2026-06-26 09:00:00,2026-06-26 09:00:00,27.35,50,Clear,2.88,2026-06-26
Munich,DE,2026-06-26 12:00:00,2026-06-26 12:00:00,30.63,42,Clear,3.63,2026-06-26
Munich,DE,2026-06-26 15:00:00,2026-06-26 15:00:00,30.75,43,Clouds,3.88,2026-06-26
Munich,DE,2026-06-26 18:00:00,2026-06-26 18:00:00,26.71,60,Clouds,2.3,2026-06-26
Munich,DE,2026-06-26 21:00:00,2026-06-26 21:00:00,21.47,74,Clouds,1.59,2026-06-26
Munich,DE,2026-06-27 00:00:00,2026-06-27 00:00:00,19.75,82,Clouds,1.43,2026-06-27
Munich,DE,2026-06-27 03:00:00,2026-06-27 03:00:00,18.9,86,Clouds,0.57,2026-06-27
Munich,DE,2026-06-27 06:00:00,2026-06-27 06:00:00,23.54,69,Clouds,0.77,2026-06-27
Munich,DE,2026-06-27 09:00:00,2026-06-27 09:00:00,30.59,47,Clouds,0.65,2026-06-27
Munich,DE,2026-06-27 12:00:00,2026-06-27 12:00:00,33.92,33,Clouds,1.94,2026-06-27
Munich,DE,2026-06-27 15:00:00,2026-06-27 15:00:00,33.2,37,Clouds,3.41,2026-06-27
Munich,DE,2026-06-27 18:00:00,2026-06-27 18:00:00,29.69,57,Rain,1.73,2026-06-27
Munich,DE,2026-06-27 21:00:00,2026-06-27 21:00:00,20.81,76,Rain,2.91,2026-06-27
Munich,DE,2026-06-28 00:00:00,2026-06-28 00:00:00,17.95,87,Rain,2.55,2026-06-28
Munich,DE,2026-06-28 03:00:00,2026-06-28 03:00:00,18.09,82,Clouds,1.82,2026-06-28
Munich,DE,2026-06-28 06:00:00,2026-06-28 06:00:00,19.98,91,Rain,2.66,2026-06-28
Munich,DE,2026-06-28 09:00:00,2026-06-28 09:00:00,28.83,43,Rain,5.72,2026-06-28
Munich,DE,2026-06-28 12:00:00,2026-06-28 12:00:00,31.3,41,Clouds,4.68,2026-06-28
Berlin,DE,2026-06-23 15:00:00,2026-06-23 15:00:00,28.49,40,Clouds,3.25,2026-06-23
Berlin,DE,2026-06-23 18:00:00,2026-06-23 18:00:00,28.03,39,Clouds,3.49,2026-06-23
Berlin,DE,2026-06-23 21:00:00,2026-06-23 21:00:00,24.81,48,Clear,2.49,2026-06-23
Berlin,DE,2026-06-24 00:00:00,2026-06-24 00:00:00,20.35,58,Clear,1.62,2026-06-24
Berlin,DE,2026-06-24 03:00:00,2026-06-24 03:00:00,17.78,61,Clouds,1.13,2026-06-24
Berlin,DE,2026-06-24 06:00:00,2026-06-24 06:00:00,25.94,48,Clouds,0.37,2026-06-24
Berlin,DE,2026-06-24 09:00:00,2026-06-24 09:00:00,29.3,37,Clouds,0.75,2026-06-24
Berlin,DE,2026-06-24 12:00:00,2026-06-24 12:00:00,30.63,29,Clouds,1.22,2026-06-24
Berlin,DE,2026-06-24 15:00:00,2026-06-24 15:00:00,28.24,29,Clouds,3.44,2026-06-24
Berlin,DE,2026-06-24 18:00:00,2026-06-24 18:00:00,30.49,38,Clouds,2.86,2026-06-24
Berlin,DE,2026-06-24 21:00:00,2026-06-24 21:00:00,27.14,55,Clear,2.3,2026-06-24
Berlin,DE,2026-06-25 00:00:00,2026-06-25 00:00:00,24.62,62,Clear,1.66,2026-06-25
Berlin,DE,2026-06-25 03:00:00,2026-06-25 03:00:00,20.98,69,Clear,1.25,2026-06-25
Berlin,DE,2026-06-25 06:00:00,2026-06-25 06:00:00,29.82,58,Clear,0.68,2026-06-25
Berlin,DE,2026-06-25 09:00:00,2026-06-25 09:00:00,30.03,43,Clear,1.41,2026-06-25
Berlin,DE,2026-06-25 12:00:00,2026-06-25 12:00:00,32.35,36,Clear,4.08,2026-06-25
Berlin,DE,2026-06-25 15:00:00,2026-06-25 15:00:00,32.73,33,Clear,4.34,2026-06-25
Berlin,DE,2026-06-25 18:00:00,2026-06-25 18:00:00,29.37,42,Clear,4.91,2026-06-25
Berlin,DE,2026-06-25 21:00:00,2026-06-25 21:00:00,23.35,46,Clear,3.39,2026-06-25
Berlin,DE,2026-06-26 00:00:00,2026-06-26 00:00:00,20.73,50,Clear,1.84,2026-06-26
Berlin,DE,2026-06-26 03:00:00,2026-06-26 03:00:00,19.46,57,Clear,1.1,2026-06-26
Berlin,DE,2026-06-26 06:00:00,2026-06-26 06:00:00,23.04,48,Clear,1.43,2026-06-26
Berlin,DE,2026-06-26 09:00:00,2026-06-26 09:00:00,28.82,33,Clear,1.18,2026-06-26
Berlin,DE,2026-06-26 12:00:00,2026-06-26 12:00:00,32.53,24,Clear,1.86,2026-06-26
Berlin,DE,2026-06-26 15:00:00,2026-06-26 15:00:00,33.27,24,Clear,3.17,2026-06-26
Berlin,DE,2026-06-26 18:00:00,2026-06-26 18:00:00,30.68,32,Clear,3.9,2026-06-26
Berlin,DE,2026-06-26 21:00:00,2026-06-26 21:00:00,26.43,46,Clear,3.35,2026-06-26
Berlin,DE,2026-06-27 00:00:00,2026-06-27 00:00:00,24.0,49,Clear,2.96,2026-06-27
Berlin,DE,2026-06-27 03:00:00,2026-06-27 03:00:00,22.63,52,Clouds,2.88,2026-06-27
Berlin,DE,2026-06-27 06:00:00,2026-06-27 06:00:00,26.41,51,Clouds,3.54,2026-06-27
Berlin,DE,2026-06-27 09:00:00,2026-06-27 09:00:00,32.35,39,Clouds,3.3,2026-06-27
Berlin,DE,2026-06-27 12:00:00,2026-06-27 12:00:00,36.49,29,Clouds,2.25,2026-06-27
Berlin,DE,2026-06-27 15:00:00,2026-06-27 15:00:00,37.74,25,Clouds,2.28,2026-06-27
Berlin,DE,2026-06-27 18:00:00,2026-06-27 18:00:00,35.8,28,Clouds,1.92,2026-06-27
Berlin,DE,2026-06-27 21:00:00,2026-06-27 21:00:00,30.77,41,Clouds,1.76,2026-06-27
Berlin,DE,2026-06-28 00:00:00,2026-06-28 00:00:00,28.57,45,Clear,2.18,2026-06-28
Berlin,DE,2026-06-28 03:00:00,2026-06-28 03:00:00,26.6,52,Clouds,2.59,2026-06-28
Berlin,DE,2026-06-28 06:00:00,2026-06-28 06:00:00,29.82,45,Clouds,3.03,2026-06-28
Berlin,DE,2026-06-28 09:00:00,2026-06-28 09:00:00,35.66,31,Clouds,3.3,2026-06-28
Berlin,DE,2026-06-28 12:00:00,2026-06-28 12:00:00,38.48,24,Clouds,3.24,2026-06-28
Paris,FR,2026-06-23 15:00:00,2026-06-23 15:00:00,37.81,26,Clear,1.91,2026-06-23
Paris,FR,2026-06-23 18:00:00,2026-06-23 18:00:00,37.87,24,Clouds,4.35,2026-06-23
Paris,FR,2026-06-23 21:00:00,2026-06-23 21:00:00,33.92,32,Clouds,1.42,2026-06-23
Paris,FR,2026-06-24 00:00:00,2026-06-24 00:00:00,29.43,42,Rain,3.32,2026-06-24
Paris,FR,2026-06-24 03:00:00,2026-06-24 03:00:00,27.06,50,Clouds,1.86,2026-06-24
Paris,FR,2026-06-24 06:00:00,2026-06-24 06:00:00,27.99,44,Clouds,2.38,2026-06-24
Paris,FR,2026-06-24 09:00:00,2026-06-24 09:00:00,34.77,27,Clouds,0.28,2026-06-24
Paris,FR,2026-06-24 12:00:00,2026-06-24 12:00:00,40.34,18,Clouds,0.4,2026-06-24
Paris,FR,2026-06-24 15:00:00,2026-06-24 15:00:00,40.66,15,Clouds,2.24,2026-06-24
Paris,FR,2026-06-24 18:00:00,2026-06-24 18:00:00,39.21,16,Clouds,3.76,2026-06-24
Paris,FR,2026-06-24 21:00:00,2026-06-24 21:00:00,32.98,35,Clouds,3.66,2026-06-24
Paris,FR,2026-06-25 00:00:00,2026-06-25 00:00:00,30.07,46,Clouds,2.92,2026-06-25
Paris,FR,2026-06-25 03:00:00,2026-06-25 03:00:00,27.52,49,Clouds,2.52,2026-06-25
Paris,FR,2026-06-25 06:00:00,2026-06-25 06:00:00,28.78,39,Clouds,2.51,2026-06-25
Paris,FR,2026-06-25 09:00:00,2026-06-25 09:00:00,36.65,25,Clear,4.03,2026-06-25
Paris,FR,2026-06-25 12:00:00,2026-06-25 12:00:00,39.69,17,Clear,4.83,2026-06-25
Paris,FR,2026-06-25 15:00:00,2026-06-25 15:00:00,40.95,15,Clear,4.7,2026-06-25
Paris,FR,2026-06-25 18:00:00,2026-06-25 18:00:00,38.16,23,Clouds,7.14,2026-06-25
Paris,FR,2026-06-25 21:00:00,2026-06-25 21:00:00,33.47,34,Clouds,5.18,2026-06-25
Paris,FR,2026-06-26 00:00:00,2026-06-26 00:00:00,31.43,32,Clouds,3.59,2026-06-26
Paris,FR,2026-06-26 03:00:00,2026-06-26 03:00:00,28.74,35,Clouds,2.43,2026-06-26
Paris,FR,2026-06-26 06:00:00,2026-06-26 06:00:00,29.58,37,Clouds,2.43,2026-06-26
Paris,FR,2026-06-26 09:00:00,2026-06-26 09:00:00,33.85,31,Clouds,3.73,2026-06-26
Paris,FR,2026-06-26 12:00:00,2026-06-26 12:00:00,38.17,22,Clouds,2.71,2026-06-26
Paris,FR,2026-06-26 15:00:00,2026-06-26 15:00:00,39.74,18,Clear,2.9,2026-06-26
Paris,FR,2026-06-26 18:00:00,2026-06-26 18:00:00,35.16,30,Clouds,5.8,2026-06-26
Paris,FR,2026-06-26 21:00:00,2026-06-26 21:00:00,29.35,40,Clouds,3.72,2026-06-26
Paris,FR,2026-06-27 00:00:00,2026-06-27 00:00:00,26.61,42,Clouds,2.69,2026-06-27
Paris,FR,2026-06-27 03:00:00,2026-06-27 03:00:00,25.32,47,Clouds,2.62,2026-06-27
Paris,FR,2026-06-27 06:00:00,2026-06-27 06:00:00,26.12,48,Clouds,1.44,2026-06-27
Paris,FR,2026-06-27 09:00:00,2026-06-27 09:00:00,31.7,37,Clouds,1.93,2026-06-27
Paris,FR,2026-06-27 12:00:00,2026-06-27 12:00:00,36.37,28,Clouds,3.29,2026-06-27
Paris,FR,2026-06-27 15:00:00,2026-06-27 15:00:00,37.01,26,Clouds,4.09,2026-06-27
Paris,FR,2026-06-27 18:00:00,2026-06-27 18:00:00,34.05,37,Clouds,5.46,2026-06-27
Paris,FR,2026-06-27 21:00:00,2026-06-27 21:00:00,25.89,67,Clouds,5.2,2026-06-27
Paris,FR,2026-06-28 00:00:00,2026-06-28 00:00:00,22.19,89,Rain,2.67,2026-06-28
Paris,FR,2026-06-28 03:00:00,2026-06-28 03:00:00,21.78,87,Rain,3.59,2026-06-28
Paris,FR,2026-06-28 06:00:00,2026-06-28 06:00:00,21.77,71,Clouds,4.3,2026-06-28
Paris,FR,2026-06-28 09:00:00,2026-06-28 09:00:00,26.55,51,Clouds,3.53,2026-06-28
Paris,FR,2026-06-28 12:00:00,2026-06-28 12:00:00,30.77,31,Clear,4.48,2026-06-28
London,GB,2026-06-23 15:00:00,2026-06-23 15:00:00,32.01,47,Clouds,4.12,2026-06-23
London,GB,2026-06-23 18:00:00,2026-06-23 18:00:00,30.47,44,Clear,3.43,2026-06-23
London,GB,2026-06-23 21:00:00,2026-06-23 21:00:00,26.85,55,Clear,2.9,2026-06-23
London,GB,2026-06-24 00:00:00,2026-06-24 00:00:00,23.24,63,Clear,1.5,2026-06-24
London,GB,2026-06-24 03:00:00,2026-06-24 03:00:00,22.02,67,Clear,1.44,2026-06-24
London,GB,2026-06-24 06:00:00,2026-06-24 06:00:00,23.42,63,Clear,1.84,2026-06-24
London,GB,2026-06-24 09:00:00,2026-06-24 09:00:00,28.51,51,Clear,3.07,2026-06-24
London,GB,2026-06-24 12:00:00,2026-06-24 12:00:00,31.74,36,Clear,3.31,2026-06-24
London,GB,2026-06-24 15:00:00,2026-06-24 15:00:00,32.94,32,Clear,3.98,2026-06-24
London,GB,2026-06-24 18:00:00,2026-06-24 18:00:00,30.44,43,Clear,4.36,2026-06-24
London,GB,2026-06-24 21:00:00,2026-06-24 21:00:00,24.6,66,Clear,3.57,2026-06-24
London,GB,2026-06-25 00:00:00,2026-06-25 00:00:00,22.32,71,Clear,3.44,2026-06-25
London,GB,2026-06-25 03:00:00,2026-06-25 03:00:00,20.28,69,Clear,3.19,2026-06-25
London,GB,2026-06-25 06:00:00,2026-06-25 06:00:00,21.79,65,Clear,3.9,2026-06-25
London,GB,2026-06-25 09:00:00,2026-06-25 09:00:00,28.58,50,Clear,4.82,2026-06-25
London,GB,2026-06-25 12:00:00,2026-06-25 12:00:00,31.99,42,Clear,5.91,2026-06-25
London,GB,2026-06-25 15:00:00,2026-06-25 15:00:00,32.1,40,Clear,6.03,2026-06-25
London,GB,2026-06-25 18:00:00,2026-06-25 18:00:00,28.96,51,Clear,6.57,2026-06-25
London,GB,2026-06-25 21:00:00,2026-06-25 21:00:00,24.27,64,Clear,4.72,2026-06-25
London,GB,2026-06-26 00:00:00,2026-06-26 00:00:00,24.22,67,Clouds,4.27,2026-06-26
London,GB,2026-06-26 03:00:00,2026-06-26 03:00:00,23.21,73,Clouds,2.43,2026-06-26
London,GB,2026-06-26 06:00:00,2026-06-26 06:00:00,24.8,64,Clouds,2.12,2026-06-26
London,GB,2026-06-26 09:00:00,2026-06-26 09:00:00,31.49,37,Clouds,4.12,2026-06-26
London,GB,2026-06-26 12:00:00,2026-06-26 12:00:00,35.37,28,Clouds,4.29,2026-06-26
London,GB,2026-06-26 15:00:00,2026-06-26 15:00:00,36.41,23,Clouds,4.86,2026-06-26
London,GB,2026-06-26 18:00:00,2026-06-26 18:00:00,33.94,27,Clear,5.11,2026-06-26
London,GB,2026-06-26 21:00:00,2026-06-26 21:00:00,28.07,45,Clear,3.39,2026-06-26
London,GB,2026-06-27 00:00:00,2026-06-27 00:00:00,24.91,58,Clear,2.17,2026-06-27
London,GB,2026-06-27 03:00:00,2026-06-27 03:00:00,22.06,72,Rain,1.54,2026-06-27
London,GB,2026-06-27 06:00:00,2026-06-27 06:00:00,23.45,58,Clear,0.49,2026-06-27
London,GB,2026-06-27 09:00:00,2026-06-27 09:00:00,28.61,39,Clouds,2.18,2026-06-27
London,GB,2026-06-27 12:00:00,2026-06-27 12:00:00,28.92,37,Clouds,3.58,2026-06-27
London,GB,2026-06-27 15:00:00,2026-06-27 15:00:00,32.56,30,Clouds,4.66,2026-06-27
London,GB,2026-06-27 18:00:00,2026-06-27 18:00:00,29.72,34,Clouds,4.6,2026-06-27
London,GB,2026-06-27 21:00:00,2026-06-27 21:00:00,23.56,61,Rain,3.28,2026-06-27
London,GB,2026-06-28 00:00:00,2026-06-28 00:00:00,21.96,59,Clouds,3.14,2026-06-28
London,GB,2026-06-28 03:00:00,2026-06-28 03:00:00,20.21,75,Clouds,2.36,2026-06-28
London,GB,2026-06-28 06:00:00,2026-06-28 06:00:00,20.05,69,Clouds,4.97,2026-06-28
London,GB,2026-06-28 09:00:00,2026-06-28 09:00:00,23.73,51,Clear,6.15,2026-06-28
